K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
211049709,KTWO211049709-C04,4,STAR,33,62.1508800,23.7686130,SC,KSC,1,2015-02-08 06:50:38,2015-04-20 04:32:17,GO4074,121.500,1.200,-44.100,1.300,,,,,10.394,0.047,9.414,0.027,10.540,0.110,9.430,0.140,10.159,0.900,,,7.840,0.023,7.441,0.023,7.323,0.015,10.273,gri,,1814-794-1,,569-009741,04083620+2346071,,2019-07-19 20:12:40,0.999,0.001,1.000,,,,4,2,10,,,21,6.619e-4
211049709,KTWO211049709-C04,4,STAR,33,62.1508800,23.7686130,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4018_GO4020_GO4024_GO4032_GO4033_GO4048_GO4060_GO4074_GO4095_GO4104,121.500,1.200,-44.100,1.300,,,,,10.394,0.047,9.414,0.027,10.540,0.110,9.430,0.140,10.159,0.900,,,7.840,0.023,7.441,0.023,7.323,0.015,10.273,gri,,1814-794-1,,569-009741,04083620+2346071,,2019-07-19 20:25:26,0.999,0.001,1.000,372.040,343.683,321.182,4,2,10,,,21,6.619e-4
211036776,KTWO211036776-C04,4,STAR,33,62.1674250,23.5571490,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4018_GO4020_GO4024_GO4029_GO4032_GO4048_GO4054_GO4060_GO4081_GO4095_GO4109,122.900,3.800,-45.800,4.600,,,,,14.405,0.080,12.861,0.040,13.663,0.020,12.229,0.060,12.436,0.900,,,9.380,0.026,8.792,0.026,8.529,0.024,12.804,gri,,,,568-009840,04084015+2333257,,2019-07-19 20:22:05,0.994,0.006,0.978,467.666,453.484,415.819,4,2,10,,,19,0.005
211041649,KTWO211041649-C04,4,STAR,33,62.9842500,23.6363230,SC,KSC,1,2015-02-08 06:50:38,2015-04-20 04:32:17,GO4105,137.710,1.920,-56.360,1.410,26.220,1.730,,,10.484,0.044,9.438,0.025,10.462,0.030,,,,,,,7.148,0.030,6.563,0.016,6.409,0.024,9.254,BV,19591,1815-309-1,,569-009971,04115620+2338108,,2019-07-19 20:12:39,1.000,0.000,1.000,,,,4,2,10,,,21,0.015
211041649,KTWO211041649-C04,4,STAR,33,62.9842500,23.6363230,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4018_GO4024_GO4032_GO4037_GO4048_GO4057_GO4064_GO4072_GO4095_GO4104_GO4105_GO4109,137.710,1.920,-56.360,1.410,26.220,1.730,,,10.484,0.044,9.438,0.025,10.462,0.030,,,,,,,7.148,0.030,6.563,0.016,6.409,0.024,9.254,BV,19591,1815-309-1,,569-009971,04115620+2338108,,2019-07-19 20:23:19,1.000,0.000,1.000,239.321,227.210,222.029,4,2,10,,,21,0.015
210963067,KTWO210963067-C04,4,STAR,33,63.1973550,22.3908210,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4018_GO4020_GO4024_GO4026_GO4032_GO4048_GO4054_GO4097,105.200,4.600,-36.200,4.600,,,,,17.463,0.260,16.173,0.120,16.622,0.050,15.467,0.090,13.909,0.150,,,11.061,0.021,10.497,0.028,10.165,0.018,14.723,gri,,,,562-009386,04124734+2223270,,2019-07-19 22:33:59,0.989,0.011,0.911,962.724,900.225,838.966,4,1,9,,,19,0.001
210490365,KTWO210490365-C04,4,STAR.Exoplanet,33,63.2734350,15.2477630,LC,KLC,3,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4032_GO4048_GO4054_GO4095_GO4097,,,,,,,,,17.760,0.130,15.881,0.062,16.606,0.020,15.286,0.040,13.637,0.110,,,11.303,0.021,10.732,0.020,10.444,0.019,14.528,gri,,,6003-301-3-0128-0008,527-008015,04130560+1514520,,2019-07-19 23:02:27,1.000,0.000,0.878,708.276,687.713,664.599,6,1,13,,,19,0.003
210497173,KTWO210497173-C04,4,EXTENDED,33,63.4681950,15.3650160,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4032_GO4054_GO4095_GO4097,,,,,,,,,16.715,0.070,15.003,0.070,15.755,0.030,14.429,0.040,12.804,0.120,,,10.541,0.024,9.975,0.023,9.700,0.020,13.690,gri,,,6003-301-3-0129-0048,527-008042,04135234+1521538,,2019-07-19 23:15:51,0.987,0.013,0.910,489.384,476.509,454.097,6,1,13,,,12,0.002
210455478,KTWO210455478-C04,4,STAR,33,63.6068850,14.6250350,SC,KSC,,2015-02-08 06:50:38,2015-04-20 04:32:17,GO4074,106.630,1.230,-19.800,0.880,21.620,1.100,,,9.146,0.024,8.442,0.017,9.533,0.040,8.947,0.030,8.157,0.070,,,7.216,0.029,6.916,0.024,6.825,0.017,8.570,gri,19781,679-597-1,,524-007799,04142562+1437300,,2019-07-19 20:11:15,1.000,0.000,1.000,,,,6,1,13,,,21,0.006
210455478,KTWO210455478-C04,4,STAR,33,63.6068850,14.6250350,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4012_GO4018_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4064_GO4067_GO4072_GO4074_GO4104,106.630,1.230,-19.800,0.880,21.620,1.100,,,9.146,0.024,8.442,0.017,9.533,0.040,8.947,0.030,8.157,0.070,,,7.216,0.029,6.916,0.024,6.825,0.017,8.570,gri,19781,679-597-1,,524-007799,04142562+1437300,,2019-07-19 23:13:21,1.000,0.000,1.000,309.073,263.034,271.347,6,1,13,,,21,0.006
