EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,RAJ2000_Rebull,DEJ2000_Rebull,EPIC_id_Rebull,PMem_Rebull,dist_GaiaC_Rebull,RAJ2000_GaiaC_Rebull,DEJ2000_GaiaC_Rebull,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Rebull_Douglas,RAJ2000_GaiaC_Rebull_Douglas,DEJ2000_GaiaC_Rebull_Douglas,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_GaiaC_Rebull_Douglas_CG,PMem_mean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645598473301711e+17,130.02696,21.26476,0.9,,,,,,130.02696,21.26476,,,,,,130.02696,21.26476,130.026963656,21.2647600812,6.64559847330171e+17,1.0,0.012268968366975878,0.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647813602669924e+17,129.00429,21.28644,0.9,,,,,,129.00429,21.28644,129.00445829999998,21.2864806,0.98,0.0,0.5831585432004787,129.0043461,21.286453533333333,,,,,,0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64776279322591e+17,129.16044,21.19162,0.9,,,,,,129.16044,21.19162,129.16058329999998,21.1916667,0.98,0.0,0.5095291489577479,129.16048776666665,21.191635566666665,,,,,,0.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648474340440593e+17,130.84339,20.90696,0.9,,,,,,130.84339,20.90696,130.8435417,20.907025,0.99,0.0,0.5612693412916687,130.84344056666666,20.906981666666667,,,,,,0.9450000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.646274329360568e+17,129.08969,20.89732,0.9,,,,,,129.08969,20.89732,129.08983329999998,20.8973778,0.98,0.0,0.5249468118403782,129.08973776666664,20.897339266666666,129.0896905398,20.89732072,6.64627432936057e+17,1.0,0.17229612119294263,0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64708865516014e+17,129.25589,20.896620000000002,0.9,,,,,,129.25589,20.896620000000002,129.25604170000003,20.896647199999997,0.99,0.0,0.5195108693210946,129.25594056666668,20.896629066666666,,,,,,0.9450000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645453088642999e+17,129.89338,20.955679999999997,0.9,,,,,,129.89338,20.955679999999997,129.89354170000001,20.955722199999997,0.99,0.0,0.5644458285581516,129.89343390000002,20.955694066666663,129.8933765786,20.955678988800003,6.645453088643e+17,1.0,0.2002067393518318,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648624535458579e+17,130.64506,20.99462,0.9,,,,,,130.64506,20.99462,130.64525,20.9946667,0.95,0.0,0.6603514081172384,130.64512333333334,20.99463556666667,130.6450634704,20.994615663,6.64862453545858e+17,1.0,0.21357809064771835,0.9500000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648767471970021e+17,130.69134,21.27112,0.9,,,,,,130.69134,21.27112,130.6915,21.2711861,0.96,0.0,0.5871419241332829,130.6913933333333,21.271142033333334,130.6913428549,21.2711202052,6.64876747197002e+17,1.0,0.18668651493802882,0.9533333333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647757295667845e+17,129.10461,21.14896,0.9,,,,,,129.10461,21.14896,129.10475,21.1490139,0.99,0.0,0.5085288686486562,129.10465666666667,21.148977966666667,129.10461338049998,21.148958339700002,6.64775729566785e+17,1.0,0.16159979204629457,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645499130697487e+17,129.88498,21.04789,0.9,,,,,,129.88498,21.04789,129.885125,21.04795,0.99,0.0,0.5329098460825294,129.88502833333334,21.047909999999998,129.8849812323,21.0478926642,6.64549913069749e+17,1.0,0.17011200096030898,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648731737842042e+17,130.93622,21.20947,0.9,,,,,,130.93622,21.20947,130.936375,21.2095333,0.97,1.0,0.5679266455914792,130.93627166666667,21.209491099999997,130.9362194078,21.2094710656,6.64873173784204e+17,1.0,0.18963916156941216,0.9566666666666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647272479759493e+17,129.11593,21.12107,0.9,,,,,,129.11593,21.12107,129.11608329999999,21.121125,0.87,0.0,0.5515690343528812,129.1159811,21.121088333333333,129.1159264304,21.1210745836,6.64727247975949e+17,0.9,0.19014490648706825,0.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647260453851101e+17,129.12246000000002,21.05281,0.9,,,,,,129.12246000000002,21.05281,129.122625,21.0528722,0.99,0.0,0.5978664816525817,129.12251500000002,21.052830733333334,129.1224631494,21.0528119658,6.6472604538511e+17,1.0,0.18684552353218642,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645478901412785e+17,130.03195,21.06267,0.9,,,,,,130.03195,21.06267,130.03208329999998,21.062730600000002,0.99,0.0,0.4981313547453254,130.03199443333332,21.062690200000002,130.0319459703,21.0626679372,6.64547890141279e+17,0.9,0.1814679656080376,0.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647202385893752e+17,129.5578,21.157239999999998,0.9,,,,,,129.5578,21.157239999999998,129.5579583,21.1572917,0.99,0.0,0.5631136885294274,129.55785276666666,21.15725723333333,129.5578022609,21.1572440934,6.64720238589375e+17,0.9,0.1760394222958199,0.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.647444278451766e+17,129.65435,21.24684,0.9,,,,,,129.65435,21.24684,129.6545,21.2468861,0.99,0.0,0.5299514530369488,129.6544,21.246855366666665,129.65435269559998,21.2468387981,6.64744427845177e+17,1.0,0.1695580423585916,0.9633333333333334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63078530290542e+17,128.42786,20.24442,0.9,,,,,,128.42786,20.24442,,,,,,128.42786,20.24442,128.4278632765,20.2444157985,6.63078530290542e+17,1.0,0.018741676960843646,0.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.630117349588284e+17,127.20785,19.98893,0.9,,,,,,127.20785,19.98893,127.208,19.9889917,0.94,0.0,0.5539518745383782,127.2079,19.988950566666666,,,,,,0.9199999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62998983199228e+17,127.16605,19.72863,0.9,,,,,,127.16605,19.72863,,,,,,127.16605,19.72863,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.641646072590593e+17,126.39872,21.1023,0.9,,,,,,126.39872,21.1023,126.39883329999999,21.1023611,0.86,0.0,0.43952620703035816,126.39875776666666,21.102320366666664,,,,,,0.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.762630491005123e+17,125.71525,21.66946,0.9,,,,,,125.71525,21.66946,,,,,,125.71525,21.66946,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.595616049094776e+17,129.09743999999998,18.40579,0.9,,,,,,129.09743999999998,18.40579,129.0975833,18.4058417,0.98,0.0,0.5236800051887518,129.09748776666666,18.405807233333334,129.09744323959998,18.4057912992,6.59561604909478e+17,1.0,0.16255485415409884,0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.595479984530875e+17,129.17098000000001,18.30726,0.9,,,,,,129.17098000000001,18.30726,129.171125,18.3072944,0.99,0.0,0.5108181340313208,129.17102833333334,18.307271466666666,129.1709751471,18.3072559788,6.59547998453088e+17,1.0,0.19013804928940958,0.9633333333333334
