K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
211418682,KTWO211418682-C16,16,STAR,23,132.4379100,11.9217000,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16064,-11.000,3.000,0.000,3.000,,,21.714,0.140,,,,,19.042,0.009,17.661,0.005,17.032,0.005,16.682,0.009,15.556,0.052,14.891,0.058,14.609,0.075,17.635,gri,,,5972-301-6-0115-0421,,08494509+1155181,,2018-05-24 18:37:13,0.919,0.081,0.606,2269.438,1830.182,1480.204,15,4,52,,,36,0.002
211418682,KTWO211418682-C18,18,STAR,27,132.4379100,11.9217000,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,-11.000,3.000,0.000,3.000,,,21.714,0.140,,,,,19.042,0.009,17.661,0.005,17.032,0.005,16.682,0.009,15.556,0.052,14.891,0.058,14.609,0.075,17.635,gri,,,5972-301-6-0115-0421,,08494509+1155181,,2018-10-17 16:21:34,0.992,0.009,0.654,2227.491,1852.722,1472.048,6,1,13,,,36,0.002
211419666,KTWO211419666-C05,5,STAR,31,132.4929450,11.9363440,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,76.900,18.000,-63.300,18.000,,,,,14.906,0.010,14.350,0.010,14.815,0.490,14.177,0.020,14.230,0.420,,,14.555,0.032,14.072,0.039,13.912,0.037,14.405,gri,,,,510-048335,08495832+1156108,,2019-03-07 19:22:48,0.852,0.148,0.862,,,,6,1,13,,,36,0.002
211419666,KTWO211419666-C16,16,STAR,23,132.4929450,11.9363440,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16064,76.900,18.000,-63.300,18.000,,,,,14.906,0.010,14.350,0.010,14.815,0.490,14.177,0.020,14.230,0.420,,,14.555,0.032,14.072,0.039,13.912,0.037,14.405,gri,,,,510-048335,08495832+1156108,,2018-05-24 18:37:48,0.876,0.124,0.726,,,,15,4,52,,,36,0.002
211419666,KTWO211419666-C18,18,STAR,27,132.4929450,11.9363440,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,76.900,18.000,-63.300,18.000,,,,,14.906,0.010,14.350,0.010,14.815,0.490,14.177,0.020,14.230,0.420,,,14.555,0.032,14.072,0.039,13.912,0.037,14.405,gri,,,,510-048335,08495832+1156108,,2018-10-17 16:21:44,0.867,0.133,0.887,1044.109,957.743,892.920,6,1,13,,,36,0.002
211420247,KTWO211420247-C05,5,STAR,31,132.4651950,11.9445410,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-8.000,3.000,4.000,3.000,,,21.871,0.150,,,,,19.007,0.009,17.631,0.006,17.007,0.005,16.675,0.009,15.467,0.047,14.797,0.062,14.481,0.067,17.607,gri,,,6004-301-6-0113-0301,,08495164+1156403,,2019-03-07 17:05:37,1.000,0.000,0.540,,,,6,1,13,,,36,0.002
211420247,KTWO211420247-C16,16,STAR,23,132.4651950,11.9445410,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16064,-8.000,3.000,4.000,3.000,,,21.871,0.150,,,,,19.007,0.009,17.631,0.006,17.007,0.005,16.675,0.009,15.467,0.047,14.797,0.062,14.481,0.067,17.607,gri,,,6004-301-6-0113-0301,,08495164+1156403,,2018-05-24 18:37:51,0.929,0.071,0.564,,,,15,4,52,,,36,0.002
211420247,KTWO211420247-C18,18,STAR,27,132.4651950,11.9445410,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,-8.000,3.000,4.000,3.000,,,21.871,0.150,,,,,19.007,0.009,17.631,0.006,17.007,0.005,16.675,0.009,15.467,0.047,14.797,0.062,14.481,0.067,17.607,gri,,,6004-301-6-0113-0301,,08495164+1156403,,2018-10-17 16:22:05,1.000,0.000,0.560,,,,6,1,13,,,36,0.002
211420394,KTWO211420394-C05,5,STAR,31,132.5001000,11.9466910,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5031,-10.000,2.100,-3.800,1.500,,,,,14.124,0.080,13.563,0.040,13.964,0.460,13.393,0.040,13.462,0.460,,,12.463,0.021,12.189,0.022,12.155,0.023,13.612,gri,,,,510-048337,08500003+1156481,,2019-03-07 17:05:37,1.000,0.000,0.950,,,,6,1,13,,,36,8.202e-4
211420394,KTWO211420394-C16,16,STAR,23,132.5001000,11.9466910,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16021_GO16031_GO16064,-10.000,2.100,-3.800,1.500,,,,,14.124,0.080,13.563,0.040,13.964,0.460,13.393,0.040,13.462,0.460,,,12.463,0.021,12.189,0.022,12.155,0.023,13.612,gri,,,,510-048337,08500003+1156481,,2018-05-24 18:38:01,1.000,0.000,0.928,,,,15,4,52,,,36,8.202e-4
