        B,        I,        MP,        R,        V,       Kp,      DEC,    PM_RA,   PM_DEC,  H_2MASS,  J_2MASS,  K_2MASS ID,RA
-99.999,18.0183,66.5211,19.2789,19.8198,19.17897,11.579350999999999,0.4124,6.8628,16.000999999999998,16.499000000000002,   15.562  0000333,132.78159
18.9475,16.3951,94.3206,17.0015,17.6577,17.0643,11.578538,0.3591,0.6193,14.273,14.944,   14.096  0000334,132.61401999999998
15.5587,13.9085,0.0,14.1986,14.53,14.342920000000001,11.579657000000001,8.0271,1.4399,12.109000000000002,12.674000000000001,   12.009  0000335,132.76096
-99.999,17.4892,64.9516,19.0561,19.5896,18.82335,11.578531,-0.2825,4.4399,15.455,16.094,   15.232  0000336,132.52623
14.7613,13.7818,99.126,13.7991,14.0772,13.978489999999999,11.58062,0.9591,-0.1632,12.408,12.753,   12.386  0000337,132.8498
19.0513,16.3698,98.5356,17.1181,17.767,17.16378,11.580093,-0.9148,-0.8246,14.34,15.019,   14.192  0000345,132.46284
15.7041,14.638,99.4647,14.6871,14.9896,14.87664,11.582543,-0.105,-0.4345,13.289000000000001,13.625,   13.192  0000347,132.86625
16.7451,15.0762,98.9939,15.364,15.7848,15.524779999999998,11.58256,0.0211,0.9171,13.353,13.888,   13.241  0000350,132.73946999999998
18.6369,17.4798,1.1791,17.6525,17.9135,17.7266,11.584427999999999,10.6527,0.8014,16.180999999999997,16.472,   15.525  0000354,132.8391
15.1662,14.3709,0.0078,14.4129,14.5982,14.51499,11.583364999999999,-2.1463,-7.9426,13.033,13.322000000000001,   12.985  0000355,132.6054
-99.999,17.7075,58.6524,19.4698,19.6975,19.10538,11.582497,-1.8651,-11.0608,15.865,16.384,   15.733  0000356,132.4567
13.6567,12.8252,0.0,12.878,12.9835,12.99859,11.583952,12.6286,-31.9081,11.509,11.850999999999999,   11.474  0000358,132.71143999999998
16.6173,15.6958,92.3378,15.7027,15.9256,15.85885,11.584789,2.3486,-0.7654,14.492,14.745,   14.308  0000359,132.79513
17.4047,16.0923,0.0,16.2489,16.6089,16.408379999999998,11.585725,10.6691,3.3398,14.502,14.985999999999999,   14.506  0000360,132.85099
