C.D.S.  -  SIMBAD4 rel 1.7  -  2018.12.14CET11:51:46

 IdentList
----------

 # 	  typed ident  	       identifier        	typ	                all types                	     coord1 (ICRS,J2000/2000)      
---	---------------	-------------------------	---	-----------------------------------------	-----------------------------------
94 	TYC 673-700-1  	HD 28608                 	PM*	*,*,*iC,PM*,IR,UV                        	067.7382141613331 +10.7517674364505
95 	TYC 680-639-1  	HD 286789                	PM*	*,*,*iC,PM*,IR                           	066.7264268016560 +13.1381768159674
96 	TYC 1265-241-1 	HD 28099                 	BY*	**,*,*,*iC,PM*,V*,BY*,IR,X               	066.6671730925492 +16.7469122726661
97 	TYC 681-651-1  	HD 28911                 	PM*	*,*,*iC,PM*,IR,UV,X                      	068.4443422244307 +13.2518857720052
98 	TYC 677-290-1  	V* V1147 Tau             	BY*	SB*,*,*,*iC,TT*,PM*,V*,BY*,IR,X          	068.1068952836830 +13.1132326686856
99 	TYC 1265-883-1 	HD 28462                 	PM*	*,*,*iC,PM*,IR,X                         	067.4905338558389 +16.6728409100700
100	TYC 1265-1171-1	* 70 Tau                 	SB*	**,SB*,SB*,*,*,*iC,IR,UV,X               	066.4055036213368 +15.9410325750848
101	TYC 680-194-1  	HD 27771                 	PM*	*,*,*iC,PM*,IR,X                         	065.8847215426820 +14.6704783441230
102	TYC 679-597-1  	HD 26756                 	PM*	*,*,*iC,PM*,IR                           	063.6068759202123 +14.6250332267608
103	TYC 680-994-1  	HD 27561                 	PM*	*,*,*iC,PM*,IR,UV,X                      	065.3949792056615 +14.4097905551583
104	TYC 1269-1212-1	V* V990 Tau              	BY*	*,*,*iC,PM*,V*,BY*,IR                    	066.0705823014236 +18.0029210436162
105	TYC 1269-22-1  	HD 28344                 	BY*	*,*,*iC,PM*,V*,BY*,IR,X                  	067.2012429872755 +17.2854683654201
106	TYC 675-186-1  	HD 286589                	** 	**,*,*,*iC,PM*,IR,X                      	063.7164019714425 +13.0549563178911
107	TYC 707-1553-1 	HD 242780                	PM*	*,*,PM*,IR                               	080.1059301178186 +11.6098191340185
108	TYC 696-390-1  	HD 31609                 	PM*	*,*,*iC,PM*,IR                           	074.4562730220707 +14.0021893026264
109	TYC 697-1892-1 	HD 32347                 	PM*	*,*,*iC,PM*,IR                           	075.7819076012575 +13.7306700189723
110	TYC 1288-32-1  	HD 284930                	PM*	*,*,*iC,PM*,IR                           	073.0980479746543 +18.9969073511122
111	TYC 1280-1207-1	HD 30738                 	EB*	EB*,SB*,SB*,*,*,*iC,V*,IR,UV,X           	072.7022643564429 +16.2104508467890
112	TYC 1280-485-1 	HD 30589                 	PM*	*,*,*iC,PM*,IR,X                         	072.3838540267228 +15.8887429088150
113	TYC 1280-1110-1	HD 30809                 	PM*	*,*,*iC,PM*,IR,UV                        	072.8467288283010 +15.4334651390538
114	TYC 1288-1591-1	HD 31236                 	PM*	*,*,*iC,PM*,IR,UV                        	073.7431712761812 +19.4853876434593
115	TYC 1274-1346-1	HD 285837                	PM*	*,*,*iC,PM*,IR                           	068.4246957203440 +19.0140341861766
116	TYC 1280-662-1 	HD 30712                 	SB*	**,SB*,*,*,*iC,PM*,V*,IR,X               	072.6409200523762 +15.0834334242889
117	TYC 1284-1397-1	HD 30505                 	** 	**,*,*,*iC,IR                            	072.2646737665302 +18.6412472616520
118	TYC 1290-502-1 	HD 33400                 	*  	*,IR,UV                                  	077.6980507811593 +20.5691774181518
119	TYC 1286-2135-1	HD 240648                	PM*	*,*,*iC,PM*,IR                           	076.5749550321170 +17.8164165043288
120	TYC 1853-1958-1	HD 33204                 	EB*	**,EB*,SB*,SB*,*,*,*iC,V*,IR,UV          	077.4378896030391 +28.0304696500675
121	TYC 1831-1894-1	HD 284653                	PM*	*,*,*iC,PM*,IR                           	071.8591169730567 +23.0509226755112
122	TYC 80-1093-1  	* 45 Tau                 	PM*	**,*,*,*iC,PM*,IR,UV                     	062.8345097165454 +05.5230520933949
123	TYC 110-1206-1 	V* V1362 Ori             	LP?	LP?,*,*,*iC,PM*,V*,IR                    	076.4182504405885 +06.4652012739314
124	TYC 672-425-1  	HD 286820                	PM*	**,*,*,*iC,PM*,IR                        	066.7011134229419 +10.8710947577362
125	TYC 676-389-1  	HD 286798                	** 	**,**,*,*,*iC,PM*,IR,X                   	066.67842853 +12.68657875          
126	TYC 676-680-1  	HD 286770                	PM*	*,*,*iC,PM*,IR                           	065.6070148925083 +11.3057237178506
127	TYC 677-1116-1 	* b Tau                  	PM*	*,*,*iC,PM*,IR,UV                        	067.2090158449306 +13.0476042787042
128	TYC 679-750-1  	* h Tau                  	dS*	*,*,*iC,PM*,dS*,IR,UV,X,**,V*            	064.9904356455334 +14.0352054116751
129	TYC 681-1151-1 	* rho Tau                	dS*	**,SB*,*,*,*iC,PM*,V*,dS*,IR,UV          	068.4621563900 +14.8444231189      
130	TYC 681-1152-1 	* 76 Tau                 	PM*	*,PM*,IR,UV,X,*,*iC                      	067.0975235492284 +14.7409433382880
131	TYC 681-1153-1 	* 83 Tau                 	** 	**,*,*,*iC,PM*,IR,UV,X                   	067.6556774736377 +13.7244027891201
132	TYC 682-1726-1 	HD 29499                 	PM*	**,*,*,*iC,PM*,IR,UV                     	069.7756628160354 +07.8709884069673
133	TYC 683-688-1  	HD 30311                 	PM*	*,*,*iC,PM*,IR,UV,X                      	071.6899501290583 +09.0173481221779
134	TYC 687-1627-1 	HD 30034                 	PM*	**,*,*,*iC,PM*,V*,IR,UV                  	071.1076189780934 +11.1461382478033
135	TYC 688-43-1   	HD 30810                 	** 	*,*,*iC,IR,UV,X,**,**                    	072.8022019149742 +11.0680226645937
136	TYC 690-1547-1 	* c Tau                  	PM*	*,*,*iC,PM*,IR,UV,X,**                   	069.5394235687195 +12.5108310618623
