HIP,TYC,source_id,c,p,RV,e_RV,s_RV,plx_mod,e_plx_mod,RAJ2000_HIP,DEJ2000_HIP,RAJ2000_TYC,DEJ2000_TYC,DEJ2000_GaiaDR1,RAJ2000_GaiaDR1,RAJ2000,DEJ2000,ID,RAJ2000_epoch2000,DEJ2000_epoch2000
20978.0,1265-883-1,3312951748510907648,0.2703,0.9655,40.193000000000005,1.002,5.0,22.194000000000003,0.17300000000000001,67.4905338558389,16.67284091007,,,16.67272265178268,67.49099771266026,67.49051770915975,16.67284438146812,3312951748510907648,67.49051770915975,16.67284438146812
20661.0,1265-1171-1,3312783557591565440,0.0268,0.9988,39.1,1.1179999999999999,5.0,21.34,0.212,66.4055036213368,15.9410325750848,66.4055036213368,15.9410325750848,15.940914860495226,66.40595649490527,66.40547790943083,15.941022795552115,3312783557591565440,66.40547790943083,15.941022795552115
20492.0,680-194-1,3311148824319241472,0.6991,0.8734,39.509,1.002,5.0,21.493000000000002,0.163,65.884721542682,14.670478344123,,,14.670403556661467,65.88519257286399,65.88470628038495,14.670480899357313,3311148824319241472,65.88470628038495,14.670480899357313
19781.0,679-597-1,3311514205777562496,0.7579,0.8595,38.592,1.002,5.0,20.043,0.159,63.6068759202123,14.6250332267608,,,14.624975200111805,63.60734023376441,63.606863614317554,14.625045374209758,3311514205777562496,63.606863614317554,14.625045374209758
20357.0,680-994-1,3311024785663873920,0.3328,0.9538,39.864000000000004,1.022,5.0,20.314,0.179,65.3949792056615,14.4097905551583,,,14.409709345955884,65.39542716508377,65.39496383806303,14.409791718525872,3311024785663873920,65.39496383806303,14.409791718525872
20563.0,1269-1212-1,3314079503847287424,0.1519,0.9849,39.080999999999996,1.013,5.0,21.865,0.195,66.0705823014236,18.0029210436162,66.0705823014236,18.0029210436162,18.00279279614519,66.07106830311133,66.07056634721592,18.002924671161093,3314079503847287424,66.07056634721592,18.002924671161093
20899.0,1269-22-1,3314109912215994112,0.3841,0.9435,39.567,1.013,5.0,21.939,0.177,67.2012429872755,17.2854683654201,,,17.28534991317966,67.20171765278496,67.20122752154208,17.285472250274967,3314109912215994112,67.20122752154208,17.285472250274967
19808.0,675-186-1,3310500078099136768,2.6535,0.4482,39.607,1.011,5.0,,,63.7164019714425,13.0549563178911,,,13.054861916776494,63.71689121261905,63.716376548699294,13.054951394228974,3310500078099136768,63.716376548699294,13.054951394228974
24923.0,707-1553-1,3387381641964995712,0.0644,0.9957,44.1,1.026,5.0,18.117,0.21600000000000003,80.1059301178186,11.6098191340185,,,11.609760837563261,80.10615248977018,80.10592308311564,11.60981939613689,3387381641964995712,80.10592308311564,11.60981939613689
23069.0,696-390-1,3392446817156214784,0.2625,0.9669,42.935,1.013,5.0,18.352,0.179,74.4562730220707,14.0021893026264,,,14.002114353109409,74.45657292794874,74.45626328228492,14.00219204773848,3392446817156214784,74.45626328228492,14.00219204773848
23498.0,697-1892-1,3391712034151625984,0.1951,0.9784,42.746,1.018,5.0,18.628,0.195,75.7819076012575,13.7306700189723,,,13.730595051409297,75.78219163774249,75.78189798791567,13.730672696181312,3391712034151625984,75.78189798791567,13.730672696181312
22654.0,1288-32-1,3406943087694799744,0.2011,0.9774,41.994,1.031,5.0,19.84,0.16399999999999998,73.0980479746543,18.9969073511122,,,18.996760694614665,73.09839671164839,73.09803588962966,18.996912298446286,3406943087694799744,73.09803588962966,18.996912298446286
22524.0,1280-1207-1,3405220084257276416,0.4625,0.9271,42.648999999999994,1.014,5.0,20.275,0.201,72.7022643564429,16.210450846789,72.7022643564429,16.210450846789,16.210341606091454,72.70262587134033,72.70225329179127,16.210454623110632,3405220084257276416,72.70225329179127,16.210454623110632
22422.0,1280-485-1,3405113740864365440,0.2536,0.9685,41.672,1.01,5.0,20.94,0.177,72.3838540267228,15.888742908815,,,15.888636792820506,72.38422977011992,72.38384146993157,15.888746584193866,3405113740864365440,72.38384146993157,15.888746584193866
22566.0,1280-1110-1,3404850785786832512,0.7098,0.8709,42.464,1.018,5.0,16.282,0.166,72.846728828301,15.4334651390538,72.846728828301,15.4334651390538,15.43338894667334,72.84701344538924,72.84671944900353,15.433467290168526,3404850785786832512,72.84671944900353,15.433467290168526
22850.0,1288-1591-1,3408463506117452544,1.1041,0.7761,38.4,2.0,5.0,15.995,0.17600000000000002,73.7431712761812,19.4853876434593,73.7431712761812,19.4853876434593,19.48526627516963,73.74345074791749,73.7431637651363,19.485390777994798,3408463506117452544,73.7431637651363,19.485390777994798
21261.0,1274-1346-1,3410453484725565312,0.4132,0.9375,40.525,1.011,5.0,21.105,0.166,68.424695720344,19.0140341861766,68.424695720344,19.0140341861766,19.013893419758155,68.4251378731519,68.42468199030911,19.01403879845647,3410453484725565312,68.42468199030911,19.01403879845647
22505.0,1280-662-1,3404812680839290368,0.4107,0.938,41.966,1.053,5.0,21.581,0.23,72.6409200523762,15.0834334242889,,,15.083349541982964,72.64128676355408,72.64089001073577,15.083450123376016,3404812680839290368,72.64089001073577,15.083450123376016
22380.0,1284-1397-1,3406823240927024256,0.7062,0.8717,40.859,1.011,5.0,21.82,0.185,72.2646737665302,18.641247261652,72.2646737665302,18.641247261652,18.641084428174555,72.2650661913534,72.26467079910283,18.64124974773506,3406823240927024256,72.26467079910283,18.64124974773506
24116.0,1290-502-1,3414082525931242368,2.23,0.5261,45.3,1.2,5.0,12.479000000000001,0.165,77.6980507811593,20.5691774181518,,,20.569066381799196,77.69823702784885,77.69804833821576,20.569178150523072,3414082525931242368,77.69804833821576,20.569178150523072
23750.0,1286-2135-1,3407121827053483776,0.0938,0.9926,42.71,1.016,5.0,18.74,0.192,76.574955032117,17.8164165043288,76.574955032117,17.8164165043288,17.81628625279694,76.57523723416428,76.57494551733775,17.816420508844615,3407121827053483776,76.57494551733775,17.816420508844615
24019.0,1853-1958-1,3422091368627963008,6.9387,0.0739,45.3,1.127,5.0,,,77.4378896030391,28.0304696500675,77.4378896030391,28.0304696500675,28.030227375096043,77.43816573211215,77.4378817487454,28.030475955967322,3422091368627963008,77.4378817487454,28.030475955967322
