RAJ2000_Curtis,DEJ2000_Curtis,2MASS_id_Curtis,PMem_Curtis,RAJ2000_Olivares,DEJ2000_Olivares,PMem_Olivares,EPIC_Olivares,dist_Curtis_Olivares,RAJ2000_Curtis_Olivares,DEJ2000_Curtis_Olivares,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_Curtis_Olivares_GaiaC,RAJ2000_Curtis_Olivares_GaiaC,DEJ2000_Curtis_Olivares_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_Curtis_Olivares_GaiaC_CG,RAJ2000_Curtis_Olivares_GaiaC_CG,DEJ2000_Curtis_Olivares_GaiaC_CG
288.3425,-16.7526667,191322201645096.0,0.9,,,,,,288.3425,-16.7526667,,,,,,288.3425,-16.7526667,,,,,,288.3425,-16.7526667
289.34925,-16.2135556,191723821612488.0,0.7,289.34930509599997,-16.2135718566,0.7788008692367092,219646472.0,0.19924575170258338,289.349277548,-16.213563728300002,4.1839426705750164e+18,289.3493,-16.21369,0.9,0.46115611775946136,289.349283161,-16.213595296225,289.34929687430997,-16.213687276879998,4.1839426705750164e+18,0.7,0.33450634187887646,289.3492854465517,-16.21361062633417
288.927875,-16.5513889,191542691633050.0,0.9,288.92787928,-16.551416532,0.23115682493047301,219518666.0,0.10056567706005555,288.92787713999996,-16.551402716,4.087853875535923e+18,288.92787999999996,-16.55153,0.9,0.4583286729845036,288.92787785499996,-16.551434537,288.92787610477,-16.55153156199,4.087853875535923e+18,1.0,0.3493421782503381,288.92787756329494,-16.551450707831666
289.369375,-16.5586944,191728651633313.0,0.9,,,,,,289.369375,-16.5586944,,,,,,289.369375,-16.5586944,,,,,,289.369375,-16.5586944
288.402,-15.8028889,191336481548104.0,0.9,,,,,,288.402,-15.8028889,,,,,,288.402,-15.8028889,,,,,,288.402,-15.8028889
288.88675,-16.3441111,191532821620388.0,0.9,288.88677332,-16.3441391704,0.923951782252215,219597943.0,0.1292347292580961,288.88676166,-16.3441251352,4.08804852345465e+18,288.88677,-16.34425,0.9,0.4504356164413811,288.886763745,-16.3441563514,288.88677116137,-16.34425496276,4.08804852345465e+18,1.0,0.3559241771856886,288.8867649810617,-16.344172786626668
289.3326667,-16.1273056,191719841607383.0,0.7,289.332669781,-16.127328872899998,0.760983879473019,219677923.0,0.08445725917518783,289.33266824049997,-16.127317236449997,,,,,,289.33266824049997,-16.127317236449997,,,,,,289.33266824049997,-16.127317236449997
288.8599167,-17.0044167,191526381700159.0,0.9,,,,,,288.8599167,-17.0044167,,,,,,288.8599167,-17.0044167,,,,,,288.8599167,-17.0044167
289.4137917,-16.6096667,191739311636348.0,0.9,289.413804533,-16.609681507999998,3.4287028064409196e-50,219495504.0,0.06929473699260871,289.4137981165,-16.609674104,,,,,,289.4137981165,-16.609674104,289.41380697067,-16.609791115620002,4.1838680068618435e+18,0.3,0.4223478161746175,289.413799887334,-16.609697506324
288.993375,-16.2571667,191558411615258.0,0.9,288.99339651599996,-16.2571728531,0.9287316675709151,219630458.0,0.07758962290971612,288.993385758,-16.25716977655,4.1841264264672036e+18,288.99339,-16.25729,0.9,0.4330526508422841,288.99338681849997,-16.2571998324125,288.99339414432,-16.25729093326,4.1841264264672036e+18,1.0,0.3289388772640137,288.99338803946995,-16.25721501588708
